"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","4/8","34/18723",6.30973811259814e-10,3.61561630595116e-07,1.30001009292314e-07,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0051084","BP","GO:0051084","'de novo' posttranslational protein folding","4/8","39/18723",1.11811775900381e-09,3.61561630595116e-07,1.30001009292314e-07,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0006458","BP","GO:0006458","'de novo' protein folding","4/8","43/18723",1.6764836039959e-09,3.61561630595116e-07,1.30001009292314e-07,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","4/8","67/18723",1.03696583151246e-08,1.67729223247141e-06,6.03077496748037e-07,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0042026","BP","GO:0042026","protein refolding","3/8","23/18723",9.03151266351948e-08,1.16867773865942e-05,4.20203010239538e-06,"HSPA6/HSPA1A/HSPA1B",3
"GO:0006986","BP","GO:0006986","response to unfolded protein","4/8","137/18723",1.87730140423168e-07,2.0243566808965e-05,7.27865983044215e-06,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","4/8","159/18723",3.41406787319094e-07,3.1555741627922e-05,1.1345999999627e-05,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0006457","BP","GO:0006457","protein folding","4/8","212/18723",1.0794825518564e-06,8.7303151381386e-05,3.1390216310561e-05,"HSPA6/HSPA1A/HSPA1B/HSPH1",4
"GO:0071356","BP","GO:0071356","cellular response to tumor necrosis factor","4/8","229/18723",1.46846590549001e-06,0.000105566382316893,3.79568380249464e-05,"ZC3H12A/HSPA1A/HSPA1B/CXCL8",4
"GO:0034612","BP","GO:0034612","response to tumor necrosis factor","4/8","253/18723",2.18421907785534e-06,0.000141318974337241,5.08118332848454e-05,"ZC3H12A/HSPA1A/HSPA1B/CXCL8",4
"GO:0034605","BP","GO:0034605","cellular response to heat","3/8","69/18723",2.64737935474016e-06,0.000155714040228807,5.59876399423516e-05,"HSPA6/HSPA1A/HSPA1B",3
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","4/8","290/18723",3.7580000568083e-06,0.000202618836396247,7.28524572416346e-05,"ZC3H12A/HSPA1A/HSPA1B/CXCL8",4
"GO:0019058","BP","GO:0019058","viral life cycle","4/8","317/18723",5.34990138730312e-06,0.000266260476737317,9.57350774570032e-05,"ZC3H12A/HSPA1A/HSPA1B/CXCL8",4
"GO:0010968","BP","GO:0010968","regulation of microtubule nucleation","2/8","10/18723",7.17679274290018e-06,0.000281944365543849,0.000101374285829644,"HSPA1A/HSPA1B",2
"GO:0034620","BP","GO:0034620","cellular response to unfolded protein","3/8","96/18723",7.18044606924745e-06,0.000281944365543849,0.000101374285829644,"HSPA6/HSPA1A/HSPA1B",3
"GO:1990868","BP","GO:1990868","response to chemokine","3/8","97/18723",7.40812088755091e-06,0.000281944365543849,0.000101374285829644,"ZC3H12A/DUSP1/CXCL8",3
"GO:1990869","BP","GO:1990869","cellular response to chemokine","3/8","97/18723",7.40812088755091e-06,0.000281944365543849,0.000101374285829644,"ZC3H12A/DUSP1/CXCL8",3
"GO:0090084","BP","GO:0090084","negative regulation of inclusion body assembly","2/8","11/18723",8.76976119371187e-06,0.00029863344696482,0.000107374915446555,"HSPA1A/HSPA1B",2
