"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN","4/8","199/16930",1.24964834759909e-06,4.12220363544749e-05,3.44448920162188e-05,"ZC3H12A/DUSP1/HSPA1A/HSPA1B",4
"GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN","4/8","200/16930",1.27490834086005e-06,4.12220363544749e-05,3.44448920162188e-05,"ZC3H12A/DUSP1/HSPA1A/HSPA1B",4
"GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN","4/8","200/16930",1.27490834086005e-06,4.12220363544749e-05,3.44448920162188e-05,"ZC3H12A/DUSP1/HSPA1A/HSPA1B",4
"GSE12366_GC_VS_MEMORY_BCELL_DN","GSE12366_GC_VS_MEMORY_BCELL_DN","GSE12366_GC_VS_MEMORY_BCELL_DN","2/8","197/16930",0.00360205452858337,0.0179946757423204,0.0150362456012878,"HSPA6/DUSP1",2
"GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP","GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP","GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP","2/8","197/16930",0.00360205452858337,0.0179946757423204,0.0150362456012878,"HSPA1A/HSPH1",2
"GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN","GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN","GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN","2/8","198/16930",0.00363794793814315,0.0179946757423204,0.0150362456012878,"ZC3H12A/HSPA1A",2
"GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN","GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN","GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN","2/8","198/16930",0.00363794793814315,0.0179946757423204,0.0150362456012878,"DUSP1/HSPA1A",2
"GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP","GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP","GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP","2/8","199/16930",0.0036740106112431,0.0179946757423204,0.0150362456012878,"ZC3H12A/HSPA1B",2
"GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_DN","GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_DN","GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_DN","2/8","199/16930",0.0036740106112431,0.0179946757423204,0.0150362456012878,"BRD2/HSPH1",2
"GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_DN","GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_DN","GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_DN","2/8","199/16930",0.0036740106112431,0.0179946757423204,0.0150362456012878,"ZC3H12A/BRD2",2
"GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","2/8","200/16930",0.00371024242109699,0.0179946757423204,0.0150362456012878,"ZC3H12A/CXCL8",2
"GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN","2/8","200/16930",0.00371024242109699,0.0179946757423204,0.0150362456012878,"DUSP1/BRD2",2
"GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_DN","GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_DN","GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_DN","2/8","200/16930",0.00371024242109699,0.0179946757423204,0.0150362456012878,"HSPA1A/BRD2",2
