"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05134","hsa05134","Legionellosis","4/6","57/8113",3.25051838185917e-08,1.46273327183663e-06,1.0606954719751e-06,"3310/3303/3304/3576",4
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","4/6","171/8113",2.76631915491658e-06,6.22421809856231e-05,4.5134680948639e-05,"3310/3303/3304/10808",4
"hsa05417","hsa05417","Lipid and atherosclerosis","4/6","215/8113",6.90223592609556e-06,9.40903519992647e-05,6.8229261098882e-05,"3310/3303/3304/3576",4
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","3/6","62/8113",8.36358684437908e-06,9.40903519992647e-05,6.8229261098882e-05,"3310/3303/3304",3
"hsa04612","hsa04612","Antigen processing and presentation","3/6","78/8113",1.67486694349555e-05,0.000150738024914599,0.000109307105786025,"3310/3303/3304",3
"hsa04010","hsa04010","MAPK signaling pathway","4/6","294/8113",2.39319925479741e-05,0.000179489944109806,0.000130156450699508,"3310/1843/3303/3304",4
"hsa05145","hsa05145","Toxoplasmosis","3/6","112/8113",4.97035803922177e-05,0.000319523016807114,0.000231700901076504,"3310/3303/3304",3
"hsa04915","hsa04915","Estrogen signaling pathway","3/6","138/8113",9.27745093365089e-05,0.000473972060779322,0.000343699038225941,"3310/3303/3304",3
"hsa05162","hsa05162","Measles","3/6","139/8113",9.47944121558645e-05,0.000473972060779322,0.000343699038225941,"3310/3303/3304",3
"hsa03040","hsa03040","Spliceosome","3/6","147/8113",0.000112003491378934,0.000504015711205204,0.000365485077131259,"3310/3303/3304",3
"hsa04144","hsa04144","Endocytosis","3/6","251/8113",0.00054610360581112,0.00223406020559095,0.00162002026604256,"3310/3303/3304",3
"hsa05020","hsa05020","Prion disease","3/6","273/8113",0.000698965708623761,0.0026211214073391,0.00190069622520496,"3310/3303/3304",3
